backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,config,error
triton_v7_fixed_best_cutoff,1,32,256,128,fp16,True,0.04736800193786621,11.378315359532747,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,256,128,fp16,True,0.03495743989944458,15.417835675333977,,"KernelConfig(block_m=128, block_n=32, num_warps=8, num_stages=4)",
triton_v9_autotune_table,1,32,256,128,fp16,True,0.030798399448394777,17.499872514579362,,"KernelConfig(block_m=32, block_n=32, num_warps=4, num_stages=2)",
flash_attn,1,32,512,128,fp16,True,0.0779801607131958,27.592632950753757,,,
torch_matmul_softmax,1,32,512,128,fp16,True,0.2999702453613281,7.172971270561198,,,
torch_sdpa_auto,1,32,512,128,fp16,True,0.07978400230407715,26.968789354530095,,,
torch_sdpa_cudnn,1,32,512,128,fp16,True,0.0804201602935791,26.755454653971814,,,
torch_sdpa_efficient_cutlass,1,32,512,128,fp16,True,0.12317824363708496,17.46800318357681,,,
torch_sdpa_flash_pytorch,1,32,512,128,fp16,True,0.08001791954040527,26.889951205410984,,,
triton_v0_baseline,1,32,512,128,fp16,True,0.14104415893554687,15.255349588657939,,,
triton_v1_codegen_hints,1,32,512,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,512,128,fp16,True,0.13748640060424805,15.65011479348829,,"BLOCK_M: 128, BLOCK_N: 32, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,512,128,fp16,True,,,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)","out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,512,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,512,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,512,128,fp16,True,0.09534144401550293,22.56812841695714,,"BLOCK_M: 128, BLOCK_N: 64, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,512,128,fp16,True,0.14058752059936525,15.30490005675308,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,512,128,fp16,True,0.09510335922241211,22.624626191888858,,"KernelConfig(block_m=128, block_n=32, num_warps=8, num_stages=4)",
triton_v9_autotune_table,1,32,512,128,fp16,True,0.0888047981262207,24.22929838702815,,"KernelConfig(block_m=32, block_n=32, num_warps=4, num_stages=2)",
flash_attn,1,32,1024,128,fp16,True,0.25217792510986325,34.096256427893415,,,
torch_matmul_softmax,1,32,1024,128,fp16,True,1.6817759704589843,5.112644817759749,,,
torch_sdpa_auto,1,32,1024,128,fp16,True,0.25655231475830076,33.51489230608005,,,
torch_sdpa_cudnn,1,32,1024,128,fp16,True,0.2582547187805176,33.293963574417546,,,
torch_sdpa_efficient_cutlass,1,32,1024,128,fp16,True,0.4041465759277344,21.27525930477627,,,
torch_sdpa_flash_pytorch,1,32,1024,128,fp16,True,0.25625247955322267,33.55410732021487,,,
triton_v0_baseline,1,32,1024,128,fp16,True,0.5328521728515625,16.136413883771944,,,
triton_v1_codegen_hints,1,32,1024,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,1024,128,fp16,True,0.5222675323486328,16.463445777173646,,"BLOCK_M: 128, BLOCK_N: 32, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,1024,128,fp16,True,,,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)","out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,1024,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,1024,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,1024,128,fp16,True,0.28976160049438476,29.673784191313594,,"BLOCK_M: 128, BLOCK_N: 64, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,1024,128,fp16,True,0.46960254669189455,18.309788267910196,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,1024,128,fp16,True,0.2897020721435547,29.6798815982901,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=3)",
triton_v9_autotune_table,1,32,1024,128,fp16,True,0.2897065544128418,29.67942239838693,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=3)",
flash_attn,1,32,2048,128,fp16,True,0.9080000305175782,37.85959738834447,,,
torch_sdpa_auto,1,32,2048,128,fp16,True,0.9186978912353516,37.4187378810402,,,
torch_sdpa_cudnn,1,32,2048,128,fp16,True,0.9200844573974609,37.362347888406866,,,
torch_sdpa_efficient_cutlass,1,32,2048,128,fp16,True,1.4478131103515626,23.743752103234225,,,
torch_sdpa_flash_pytorch,1,32,2048,128,fp16,True,0.9211325073242187,37.319837602800185,,,
triton_v0_baseline,1,32,2048,128,fp16,True,2.076036224365234,16.558726278733847,,,
triton_v1_codegen_hints,1,32,2048,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,2048,128,fp16,True,2.044541778564453,16.813799524379004,,"BLOCK_M: 128, BLOCK_N: 32, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,2048,128,fp16,True,,,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)","out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,2048,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,2048,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,2048,128,fp16,True,0.9810867309570312,35.039221813209494,,"BLOCK_M: 128, BLOCK_N: 64, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,2048,128,fp16,True,1.7003782653808595,20.216981294041755,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
